Заголовок,Ссылка на объявление,Цена
"
Сдам 3 комнатную квартиру в новострое м. Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-komnatnuyu-kvartiru-v-novostroe-m-akademika-pavlova-IDEGPsq.html#318b7e08d9;promoted,"
10 471 грн.
"
"
Сдам 1-к.кв. м.Студенческая с евроремонтом
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-m-studencheskaya-s-evroremontom-IDEGuSb.html#318b7e08d9;promoted,"
9 500 грн.
"
"
Аренда Центр Новой 2к. Новострой пл.Восстания
",https://www.olx.ua/obyavlenie/arenda-tsentr-novoy-2k-novostroy-pl-vosstaniya-IDEnW8W.html#318b7e08d9;promoted,"
13 089 грн.
"
"
Аренда Новая Шикарная 3 к.кв. Новострой Центр. 2 спальни
",https://www.olx.ua/obyavlenie/arenda-novaya-shikarnaya-3-k-kv-novostroy-tsentr-2-spalni-IDBgeBu.html#318b7e08d9;promoted,"
18 000 грн.
"
"
Сдам свою 1-ю квартиру в центре города, 5 мин. от метро
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-yu-kvartiru-v-tsentre-goroda-5-min-ot-metro-IDEyatm.html#318b7e08d9;promoted,"
10 000 грн.
"
"
Сдам 2х комн квартиру.8
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-8-IDEHzjO.html#318b7e08d9,"
6 500 грн.
"
"
Сдам 2х комн. квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-2h-komn-kvartiru-v-tsentre-IDEEiCC.html#318b7e08d9;promoted,"
13 000 грн.
"
"
Аренда Шикарный 2х уровн. Пентхаус Новострой, Пушкинская, Центр
",https://www.olx.ua/obyavlenie/arenda-shikarnyy-2h-urovn-penthaus-novostroy-pushkinskaya-tsentr-IDDXXVs.html#318b7e08d9,"
52 338 грн.
"
"
Аренда 3к. Дизан-й Пентхаус Центр Сумская Новострой Терраса
",https://www.olx.ua/obyavlenie/arenda-3k-dizan-y-penthaus-tsentr-sumskaya-novostroy-terrasa-IDDjzGi.html#318b7e08d9;promoted,"
39 254 грн.
"
"
Аренда Новая Шикарная 3 к.кв. Новострой Центр. 2 спальни
",https://www.olx.ua/obyavlenie/arenda-novaya-shikarnaya-3-k-kv-novostroy-tsentr-2-spalni-IDBgeBu.html#318b7e08d9;promoted,"
18 000 грн.
"
"
Сдам 2х уровневую квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-studiyu-IDAfqSk.html#318b7e08d9;promoted,"
6 000 грн.
"
"
Сдам 1 из.кв. 522м/н, ТРЦ Дафи, метро 5 мин.
",https://www.olx.ua/obyavlenie/sdam-1-iz-kv-522m-n-trts-dafi-metro-5-min-IDEHtDm.html#318b7e08d9,"
9 200 грн.
"
"
Срочно! Свободная! 1 к.кв.ул.Алчевских.м.Пушкинская, Центр LS-7
",https://www.olx.ua/obyavlenie/srochno-svobodnaya-1-k-kv-ul-alchevskih-m-pushkinskaya-tsentr-ls-7-IDDKcVa.html#318b7e08d9,"
10 468 грн.
"
"
Сдам 1 к.кв Центр м. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-tsentr-m-pushkinskaya-IDEHsmI.html#318b7e08d9,"
7 851 грн.
"
"
Срочно! Сдам квартиру в ЖК ""Воробьевы Горы""!
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-v-zhk-vorobevy-gory-IDA7Uta.html#318b7e08d9,"
5 234 грн.
"
"
Сдам в аренду 1-к квартиру в центре
",https://www.olx.ua/obyavlenie/sdam-v-arendu-1-k-kvartiru-v-tsentre-IDEHrF3.html#318b7e08d9,"
7 407 грн.
"
"
1к кв Новострой м. Холодная Гора 3 минуты
",https://www.olx.ua/obyavlenie/1k-kv-novostroy-m-holodnaya-gora-3-minuty-IDEHrDt.html#318b7e08d9,"
8 000 грн.
"
"
Сдам 1кв м Героев Труда 5мин пешком,Салтовка
",https://www.olx.ua/obyavlenie/sdam-1kv-m-geroev-truda-5min-peshkom-saltovka-IDDPLxH.html#318b7e08d9,"
4 500 грн.
"
"
Срочно сдам квартиру-студию умной планировки!
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-studiyu-umnoy-planirovki-IDBbuK3.html#318b7e08d9,"
6 500 грн.
"
"
Сдам однокомнатную квартиру на Салтовке,1 минута от метро Студенческая
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-na-saltovke-1-minuta-ot-metro-studencheskaya-IDEHqTr.html#318b7e08d9,"
8 000 грн.
"
"
Сдается 2х уровневая квартира с евроремонтом в Новострое.
",https://www.olx.ua/obyavlenie/sdaetsya-2h-urovnevaya-kvartira-s-evroremontom-v-novostroe-IDBbu66.html#318b7e08d9,"
6 800 грн.
"
"
Сдам 1 ком. квартиру в центре, ул. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-v-tsentre-ul-pushkinskaya-IDEzHJt.html#318b7e08d9,"
9 159 грн.
"
"
Сдается гостинка с новым современным уютным ремонтом
",https://www.olx.ua/obyavlenie/sdaetsya-gostinka-s-novym-sovremennym-uyutnym-remontom-IDBbV4x.html#318b7e08d9,"
6 300 грн.
"
"
Сдам 2-х комнатную квартиру, метро ""Студенческая""
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-metro-studencheskaya-IDEHpFg.html#318b7e08d9,"
5 000 грн.
"
"
Сдам 1 комн. квартиру пос. Жуковского ХАИ ул. Продольная
",https://www.olx.ua/obyavlenie/sdam-1-komn-kvartiru-pos-zhukovskogo-hai-ul-prodolnaya-IDEq2gS.html#318b7e08d9,"
6 000 грн.
"
"
Сдам 1-ком.кв ул. Натальи Ужвий 106,5/9 улучшенной планировки
",https://www.olx.ua/obyavlenie/sdam-1-kom-kv-ul-natali-uzhviy-106-5-9-uluchshennoy-planirovki-IDEHmsK.html#318b7e08d9,"
4 500 грн.
"
"
Срочно сдам квартиру- студию!
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-studiyu-IDBbtoN.html#318b7e08d9,"
4 972 грн.
"
"
Сдам свою 1-комн. м. Студенчесая 4 мин, напротив Фарм. Ак.
",https://www.olx.ua/obyavlenie/sdam-svoyu-1-komn-m-studenchesaya-4-min-naprotiv-farm-ak-IDEufZA.html#318b7e08d9,"
7 327 грн.
"
"
Сдам В Новострое 1 к кв М Академика Павлова. Гостинка Воробьёвы Горы
",https://www.olx.ua/obyavlenie/sdam-v-novostroe-1-k-kv-m-akademika-pavlova-gostinka-vorobevy-gory-IDEwQdX.html#318b7e08d9,"
5 000 грн.
"
"
Сдам свою квартиру -студию в ж.к. Воробьевы горы
",https://www.olx.ua/obyavlenie/sdam-svoyu-kvartiru-studiyu-v-zh-k-vorobevy-gory-IDvr5x0.html#318b7e08d9,"
5 236 грн.
"
